,Timestamp,idx,gaze_x,gaze_y,gaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadBox_xmin,HeadBox_ymin,RightEyeBox_xmin,RightEyeBox_ymin,LeftEyeBox_xmin,LeftEyeBox_ymin,ROpenClose,LOpenClose,set_x,set_y,set_z,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG
10,1732953570.9713933,0.0,0.20579786598682404,-0.17843689024448395,0.9623467326164246,90.0,163.0,224.0,153.0,-2.3338892459869385,-4.064869403839111,-3.230630874633789,523.0,294.0,47.0,120.0,181.0,110.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.28007507301294654,0.0,-1.0,0.0,-0.019564014962819884,0.0,0.0,-1.0,0.9594362830171883,0.0,0.0,0.0,1.0
11,1732953571.1142018,0.0,0.20579786598682404,-0.17843689024448395,0.9623467326164246,90.0,163.0,223.0,154.0,-2.402573585510254,-4.210298538208008,-3.4381847381591797,523.0,294.0,47.0,120.0,180.0,111.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.28011654744583747,0.0,-1.0,0.0,-0.01990744679603427,0.0,0.0,-1.0,0.9593991077216767,0.0,0.0,0.0,1.0
12,1732953571.255272,0.0,0.1943027377128601,-0.17758388817310333,0.9645759463310242,89.0,164.0,223.0,154.0,-2.5928945541381836,-3.3606252670288086,-3.3576982021331787,523.0,294.0,46.0,121.0,180.0,111.0,1.0,1.0,30.0,17.0,0.0,1.0,0.0,0.0,-0.27982804750920304,0.0,-1.0,0.0,-0.020177128489045938,0.0,0.0,-1.0,0.9594809873653302,0.0,0.0,0.0,1.0
13,1732953571.3922987,1.0,0.1932816058397293,-0.17758388817310333,0.9654013514518738,88.0,163.0,222.0,153.0,-2.9009647369384766,-4.53632116317749,-3.6160888671875,524.0,295.0,45.0,120.0,179.0,110.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.28008770556389295,0.0,-1.0,0.0,-0.019927069022466586,0.0,0.0,-1.0,0.9594062679902093,0.0,0.0,0.0,1.0
14,1732953571.5319836,1.0,0.18071766197681427,-0.17758388817310333,0.9672136902809143,88.0,164.0,221.0,154.0,-3.13443660736084,-3.3137943744659424,-3.846466541290283,524.0,294.0,45.0,121.0,178.0,111.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.2804565765917896,0.0,-1.0,0.0,-0.019219888945529163,0.0,0.0,-1.0,0.9593231349391459,0.0,0.0,0.0,1.0
15,1732953571.6739902,1.0,0.1800329089164734,-0.1752108335494995,0.9679303765296936,90.0,165.0,224.0,155.0,-2.600587844848633,-4.265435218811035,-3.6047346591949463,522.0,293.0,47.0,122.0,181.0,112.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.2804695310302876,0.0,-1.0,0.0,-0.0199474532389743,0.0,0.0,-1.0,0.9593049775794655,0.0,0.0,0.0,1.0
16,1732953571.8160794,1.0,0.1757768839597702,-0.17388466000556946,0.9680419564247131,89.0,164.0,224.0,153.0,-3.5189998149871826,-5.661721706390381,-3.7669501304626465,523.0,294.0,46.0,121.0,181.0,110.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.28040800704898905,0.0,-1.0,0.0,-0.019907332759462777,0.0,0.0,-1.0,0.9593154198831966,0.0,0.0,0.0,1.0
17,1732953571.956092,1.0,0.1757768839597702,-0.1752108335494995,0.9679303765296936,90.0,163.0,224.0,153.0,-1.5357089042663574,-3.2949647903442383,-3.370047092437744,522.0,295.0,47.0,120.0,181.0,110.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.2808124829715079,0.0,-1.0,0.0,-0.019817136503989374,0.0,0.0,-1.0,0.959198553695394,0.0,0.0,0.0,1.0
18,1732953572.1005166,1.0,0.1800329089164734,-0.1752108335494995,0.9679303765296936,91.0,163.0,225.0,153.0,-2.3550686836242676,-4.693603992462158,-3.2382254600524902,522.0,295.0,48.0,120.0,182.0,110.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.27969649327261525,0.0,-1.0,0.0,-0.01991936027407512,0.0,0.0,-1.0,0.9595282779063155,0.0,0.0,0.0,1.0
19,1732953572.2444148,1.0,0.17285309731960297,-0.17942000925540924,0.9696013927459717,89.0,165.0,224.0,154.0,-2.2917332649230957,-3.278099298477173,-3.3260555267333984,523.0,294.0,46.0,122.0,181.0,111.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.2803222611745462,0.0,-1.0,0.0,-0.019193490147088835,0.0,0.0,-1.0,0.9593592140250096,0.0,0.0,0.0,1.0
20,1732953572.3884156,1.0,0.1659681648015976,-0.17942000925540924,0.9661069512367249,85.0,163.0,219.0,153.0,-3.0113611221313477,-1.5259861946105957,-3.714016914367676,522.0,295.0,42.0,120.0,176.0,110.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.2805689829362773,0.0,-1.0,0.0,-0.019593638358400913,0.0,0.0,-1.0,0.9592865748940484,0.0,0.0,0.0,1.0
21,1732953572.5354135,1.0,0.15572792291641235,-0.17942000925540924,0.9644747376441956,83.0,163.0,218.0,153.0,-2.9503555297851562,-2.5794098377227783,-3.708362579345703,523.0,295.0,40.0,120.0,175.0,110.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.28194747901535333,0.0,-1.0,0.0,-0.020267690368982544,0.0,0.0,-1.0,0.9588544905197962,0.0,0.0,0.0,1.0
22,1732953572.6714077,1.0,-0.3367774486541748,-0.11364232003688812,0.93474280834198,85.0,165.0,218.0,155.0,-3.124342918395996,-0.7865185737609863,-3.7941949367523193,522.0,294.0,42.0,122.0,175.0,112.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.28218907356767775,0.0,-1.0,0.0,-0.019857974815847966,0.0,0.0,-1.0,0.9587973964061317,0.0,0.0,0.0,1.0
23,1732953572.8083806,1.0,-0.3489726781845093,-0.11330006271600723,0.9313520193099976,85.0,165.0,218.0,155.0,-2.9245197772979736,-0.5212516784667969,-3.5588526725769043,522.0,293.0,42.0,122.0,175.0,112.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.2821112827007535,0.0,-1.0,0.0,-0.02032022922974306,0.0,0.0,-1.0,0.9588017048082007,0.0,0.0,0.0,1.0
24,1732953572.9550128,1.0,-0.3494372069835663,-0.11232101917266846,0.9310219287872314,84.0,165.0,218.0,154.0,-3.273090362548828,-0.6718988418579102,-3.805084228515625,523.0,294.0,41.0,122.0,175.0,111.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.2814487604952858,0.0,-1.0,0.0,-0.020329903626475743,0.0,0.0,-1.0,0.9590014914835996,0.0,0.0,0.0,1.0
25,1732953573.0918376,1.0,-0.3519439697265625,-0.10684653371572495,0.9302030205726624,83.0,162.0,218.0,151.0,-3.518561601638794,-1.7392466068267822,-3.4564709663391113,523.0,296.0,40.0,119.0,175.0,108.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.28229822338919636,0.0,-1.0,0.0,-0.020210753660626777,0.0,0.0,-1.0,0.9587577548372648,0.0,0.0,0.0,1.0
26,1732953573.230009,1.0,-0.353464275598526,-0.10734382271766663,0.9292687177658081,83.0,164.0,218.0,153.0,-3.551048994064331,-0.4508848190307617,-3.6270902156829834,523.0,294.0,40.0,121.0,175.0,110.0,1.0,1.0,278.0,17.0,0.0,1.0,0.0,0.0,-0.28279510278247344,0.0,-1.0,0.0,-0.0198982988819897,0.0,0.0,-1.0,0.9586163252125248,0.0,0.0,0.0,1.0
27,1732953573.365999,2.0,-0.353464275598526,-0.10734382271766663,0.9292687177658081,84.0,165.0,217.0,155.0,-3.2969648838043213,0.16152477264404297,-3.82421612739563,522.0,293.0,41.0,122.0,174.0,112.0,1.0,1.0,30.0,156.0,0.0,1.0,0.0,0.0,-0.2823222595764141,0.0,-1.0,0.0,-0.02047138854718848,0.0,0.0,-1.0,0.9587452092345317,0.0,0.0,0.0,1.0
28,1732953573.5032663,2.0,-0.35908523201942444,-0.10734382271766663,0.92771315574646,82.0,165.0,215.0,154.0,-4.679828643798828,-1.3754656314849854,-3.8605668544769287,524.0,293.0,39.0,122.0,172.0,111.0,1.0,1.0,30.0,156.0,0.0,1.0,0.0,0.0,-0.28264448258029273,0.0,-1.0,0.0,-0.020877748673534556,0.0,0.0,-1.0,0.9586359347608688,0.0,0.0,0.0,1.0
29,1732953573.6422727,2.0,-0.36030325293540955,-0.10734382271766663,0.9255271553993225,83.0,162.0,219.0,151.0,-4.06384801864624,-5.183915615081787,-3.863677501678467,522.0,295.0,40.0,119.0,176.0,108.0,1.0,1.0,30.0,156.0,0.0,1.0,0.0,0.0,-0.28274122120308587,0.0,-1.0,0.0,-0.021012095012347864,0.0,0.0,-1.0,0.9586035353454924,0.0,0.0,0.0,1.0
30,1732953573.7792823,2.0,-0.35908523201942444,-0.10734382271766663,0.9255271553993225,85.0,165.0,219.0,155.0,-3.177820920944214,-0.030811786651611328,-3.5088019371032715,521.0,293.0,42.0,122.0,176.0,112.0,1.0,1.0,30.0,156.0,0.0,1.0,0.0,0.0,-0.2837247628421434,0.0,-1.0,0.0,-0.02027654982348555,0.0,0.0,-1.0,0.9583201737582945,0.0,0.0,0.0,1.0
31,1732953573.9172082,2.0,-0.35908523201942444,-0.11117776483297348,0.9255271553993225,87.0,166.0,221.0,155.0,-3.13861083984375,-1.6602890491485596,-3.801952838897705,523.0,294.0,44.0,123.0,178.0,112.0,1.0,1.0,30.0,156.0,0.0,1.0,0.0,0.0,-0.2827147145043706,0.0,-1.0,0.0,-0.020331642798378062,0.0,0.0,-1.0,0.9586252074032333,0.0,0.0,0.0,1.0
32,1732953574.0542011,2.0,-0.3554799258708954,-0.11117776483297348,0.929068922996521,87.0,164.0,221.0,154.0,-3.42525053024292,-4.073402404785156,-3.725520133972168,523.0,297.0,44.0,121.0,178.0,111.0,0.0,1.0,30.0,156.0,0.0,1.0,0.0,0.0,-0.2820761426852686,0.0,-1.0,0.0,-0.019946496285185154,0.0,0.0,-1.0,0.9588229360328823,0.0,0.0,0.0,1.0
